year,month,day,rh,precip,tmean,tmax,tmin,date
2003,1,1,,19.9,,16.0,7.0,2003-01-01
2003,1,2,72.2,2.7,11.5,17.0,5.8,2003-01-02
2003,1,3,62.3,0.0,11.9,18.0,5.6,2003-01-03
2003,1,4,52.9,0.0,12.7,17.8,3.4,2003-01-04
2003,1,5,54.8,0.0,14.2,19.8,4.6,2003-01-05
2003,1,6,53.8,0.8,13.7,19.0,5.0,2003-01-06
2003,1,7,67.2,,12.7,17.0,6.6,2003-01-07
2003,1,8,55.9,0.0,14.9,18.4,8.0,2003-01-08
2003,1,9,63.8,0.0,13.6,17.0,9.0,2003-01-09
2003,1,10,,35.6,,17.0,6.0,2003-01-10
2003,1,11,82.5,1.7,9.9,14.6,6.0,2003-01-11
2003,1,12,,2.9,,17.0,7.2,2003-01-12
2003,1,13,67.9,0.5,11.7,17.4,6.6,2003-01-13
2003,1,14,68.3,1.0,11.5,16.8,5.8,2003-01-14
2003,1,15,,4.9,,15.8,6.8,2003-01-15
2003,1,16,63.9,0.0,12.5,16.4,7.0,2003-01-16
2003,1,17,,9.5,,17.6,8.6,2003-01-17
2003,1,18,,13.0,,15.4,8.0,2003-01-18
2003,1,19,78.8,6.4,10.1,13.0,7.0,2003-01-19
2003,1,20,76.4,3.4,10.9,16.2,6.0,2003-01-20
2003,1,21,,8.8,,15.6,5.6,2003-01-21
2003,1,22,69.6,6.6,11.0,15.8,5.6,2003-01-22
2003,1,23,65.3,4.8,11.8,16.2,4.8,2003-01-23
2003,1,24,75.1,16.7,11.3,15.6,6.0,2003-01-24
2003,1,25,77.0,11.5,11.2,16.0,6.8,2003-01-25
2003,1,26,78.5,0.3,10.7,15.4,6.8,2003-01-26
2003,1,27,77.8,4.5,11.0,15.2,8.0,2003-01-27
2003,1,28,73.7,4.5,10.8,14.6,7.0,2003-01-28
2003,1,29,,2.9,,16.0,6.4,2003-01-29
2003,1,30,84.4,5.0,10.0,14.0,5.2,2003-01-30
2003,1,31,70.0,6.6,10.3,15.4,4.8,2003-01-31
2003,2,1,68.1,0.5,11.9,16.0,6.0,2003-02-01
2003,2,2,,15.2,,15.8,6.0,2003-02-02
2003,2,3,72.3,18.3,11.0,16.0,4.6,2003-02-03
2003,2,4,76.7,1.0,10.7,16.8,6.0,2003-02-04
2003,2,5,68.5,0.2,11.1,15.2,4.6,2003-02-05
2003,2,6,68.7,0.0,12.4,15.4,6.4,2003-02-06
2003,2,7,66.9,0.8,12.6,16.2,7.2,2003-02-07
2003,2,8,67.0,0.0,12.9,17.4,7.6,2003-02-08
2003,2,9,71.5,23.2,12.0,16.8,8.0,2003-02-09
2003,2,10,71.3,0.5,11.5,16.6,6.8,2003-02-10
2003,2,11,,0.0,,17.8,9.0,2003-02-11
2003,2,12,57.4,0.0,13.5,17.8,6.0,2003-02-12
2003,2,13,64.9,0.0,12.2,17.6,6.0,2003-02-13
2003,2,14,72.4,0.0,11.5,16.0,7.0,2003-02-14
2003,2,15,61.0,0.0,13.3,18.6,5.4,2003-02-15
2003,2,16,64.5,0.0,13.5,19.0,7.6,2003-02-16
2003,2,17,67.7,6.0,12.2,17.0,8.2,2003-02-17
2003,2,18,70.7,5.6,12.0,16.4,7.0,2003-02-18
2003,2,19,75.0,0.2,11.1,16.6,6.4,2003-02-19
2003,2,20,,6.7,,15.6,7.4,2003-02-20
2003,2,21,74.4,0.0,10.4,16.4,6.0,2003-02-21
2003,2,22,,2.0,,16.0,4.4,2003-02-22
2003,2,23,71.4,2.1,11.3,17.2,6.4,2003-02-23
2003,2,24,79.7,12.7,11.0,16.2,8.0,2003-02-24
2003,2,25,80.6,0.2,8.9,13.0,5.0,2003-02-25
2003,2,26,72.8,11.5,10.1,14.2,5.6,2003-02-26
2003,2,27,71.1,0.9,11.0,15.0,5.2,2003-02-27
2003,2,28,77.8,6.8,10.3,15.0,6.0,2003-02-28
2003,3,1,67.4,6.8,11.1,15.0,5.2,2003-03-01
2003,3,2,,1.2,,15.0,7.2,2003-03-02
2003,3,3,67.6,3.5,11.3,15.4,6.2,2003-03-03
2003,3,4,,7.7,,15.4,6.0,2003-03-04
2003,3,5,75.0,8.6,10.6,15.8,5.4,2003-03-05
2003,3,6,76.4,11.2,10.2,14.4,7.0,2003-03-06
2003,3,7,72.1,0.7,10.8,16.2,5.8,2003-03-07
2003,3,8,67.7,0.0,12.3,17.6,7.0,2003-03-08
2003,3,9,65.1,4.8,12.1,18.0,5.6,2003-03-09
2003,3,10,69.6,0.0,11.7,17.4,5.8,2003-03-10
2003,3,11,,0.5,,17.6,5.6,2003-03-11
2003,3,12,71.1,0.0,11.3,17.0,5.2,2003-03-12
2003,3,13,,3.4,,17.0,6.4,2003-03-13
2003,3,14,76.4,1.1,10.1,15.6,6.6,2003-03-14
2003,3,15,64.2,0.2,11.5,16.2,4.2,2003-03-15
2003,3,16,70.4,6.7,11.1,15.2,5.0,2003-03-16
2003,3,17,85.8,8.7,8.4,11.0,6.2,2003-03-17
2003,3,18,74.8,0.5,10.1,15.0,6.2,2003-03-18
2003,3,19,72.5,0.2,10.1,15.0,5.4,2003-03-19
2003,3,20,73.8,12.1,10.5,15.4,6.6,2003-03-20
2003,3,21,79.4,6.0,9.8,12.6,5.2,2003-03-21
2003,3,22,76.1,0.3,10.3,14.8,6.0,2003-03-22
2003,3,23,74.6,,10.8,15.6,5.2,2003-03-23
2003,3,24,75.4,3.7,10.7,14.6,5.4,2003-03-24
2003,3,25,84.7,5.6,8.9,14.0,5.0,2003-03-25
2003,3,26,79.6,0.5,9.9,14.6,5.2,2003-03-26
2003,3,27,71.8,0.0,10.9,15.6,5.8,2003-03-27
2003,3,28,68.9,5.2,10.9,15.0,7.2,2003-03-28
2003,3,29,71.2,11.0,11.1,15.8,5.4,2003-03-29
2003,3,30,,0.2,,15.0,6.0,2003-03-30
2003,3,31,71.4,4.0,11.0,16.0,6.6,2003-03-31
2003,4,1,72.6,3.4,10.6,15.0,6.4,2003-04-01
2003,4,2,74.9,2.4,11.1,15.4,7.0,2003-04-02
2003,4,3,73.7,2.9,10.7,16.6,5.6,2003-04-03
2003,4,4,69.1,0.0,10.9,15.4,5.2,2003-04-04
2003,4,5,72.8,1.5,10.3,16.8,5.4,2003-04-05
2003,4,6,63.1,0.0,11.6,16.0,3.6,2003-04-06
2003,4,7,65.4,0.2,11.5,16.4,4.4,2003-04-07
