ym,tmean,rh,precip,n_rh,n_precip,wmo_valid,days_expected,n_reconstructed,days_missing,year,month,frac_reconstructed
2003-01-01,11.706451612903225,,174.5,23,30,True,31,8,0,2003,1,0.25806451612903225
2003-02-01,11.585714285714285,70.51666666666667,114.39999999999999,24,28,True,28,4,0,2003,2,0.14285714285714285
2003-03-01,10.745161290322581,73.1923076923077,114.4,26,30,True,31,5,0,2003,3,0.16129032258064516
2003-04-01,10.566666666666666,62.89666666666667,46.1,30,28,True,30,0,0,2003,4,0.0
2003-05-01,8.929032258064517,58.223333333333336,36.7,30,29,True,31,1,0,2003,5,0.03225806451612903
2003-06-01,6.59,57.6,4.8,30,30,True,30,0,0,2003,6,0.0
2003-07-01,7.216129032258065,58.3,0.2,31,28,True,31,0,0,2003,7,0.0
2003-08-01,8.2,58.38,9.6,30,29,True,31,1,0,2003,8,0.03225806451612903
2003-09-01,9.729999999999999,55.99310344827586,42.900000000000006,29,26,True,30,1,0,2003,9,0.03333333333333333
2003-10-01,11.661290322580646,53.56551724137931,25.4,29,26,True,31,2,0,2003,10,0.06451612903225806
2003-11-01,12.663333333333332,52.20769230769231,8.6,26,27,True,30,4,0,2003,11,0.13333333333333333
2003-12-01,12.435483870967742,,131.8,23,29,True,31,8,0,2003,12,0.25806451612903225
2004-01-01,10.616129032258065,77.9962962962963,208.9,27,30,True,31,4,0,2004,1,0.12903225806451613
2004-02-01,11.406896551724138,71.48846153846154,125.2,26,26,True,29,3,0,2004,2,0.10344827586206896
2004-03-01,11.922580645161291,66.07000000000001,115.5,30,27,True,31,1,0,2004,3,0.03225806451612903
2004-04-01,10.84,65.45555555555555,29.2,27,25,True,30,3,0,2004,4,0.1
2004-05-01,8.903225806451612,51.225806451612904,6.2,31,31,True,31,0,0,2004,5,0.0
2004-06-01,7.096666666666667,52.83793103448276,0.0,29,27,True,30,1,0,2004,6,0.03333333333333333
2004-07-01,7.209677419354839,55.317241379310346,10.2,29,30,True,31,2,0,2004,7,0.06451612903225806
2004-08-01,8.458620689655174,62.88965517241379,43.0,29,27,True,31,0,2,2004,8,0.0
2004-09-01,10.476666666666667,58.11785714285714,34.3,28,27,True,30,2,0,2004,9,0.06666666666666667
2004-10-01,11.929032258064517,51.36896551724138,5.6000000000000005,29,27,True,31,2,0,2004,10,0.06451612903225806
2004-11-01,,,,0,0,False,30,0,30,2004,11,0.0
2004-12-01,12.76896551724138,,59.1,24,28,True,31,5,2,2004,12,0.16129032258064516
2005-01-01,11.96551724137931,,103.3,24,26,True,31,5,2,2005,1,0.16129032258064516
2005-02-01,10.87142857142857,71.65416666666667,157.9,24,28,True,28,4,0,2005,2,0.14285714285714285
2005-03-01,11.641379310344828,65.692,134.6,25,31,True,31,4,2,2005,3,0.12903225806451613
2005-04-01,11.048275862068964,62.614285714285714,45.7,28,29,True,30,1,1,2005,4,0.03333333333333333
2005-05-01,9.226666666666667,52.88333333333333,0.4,30,31,True,31,0,1,2005,5,0.0
2005-06-01,6.59,52.57666666666667,0.0,30,30,True,30,0,0,2005,6,0.0
2005-07-01,7.953333333333333,47.873333333333335,0.0,30,31,True,31,0,1,2005,7,0.0
2005-08-01,8.517241379310345,46.679310344827584,0.0,29,30,True,31,0,2,2005,8,0.0
2005-09-01,10.17,48.88965517241379,11.8,29,29,True,30,1,0,2005,9,0.03333333333333333
2005-10-01,11.53103448275862,52.79600000000001,39.5,25,26,True,31,4,2,2005,10,0.12903225806451613
2005-11-01,12.346428571428572,56.24814814814815,80.5,27,24,True,30,1,2,2005,11,0.03333333333333333
2005-12-01,12.35483870967742,62.75185185185185,97.4,27,27,True,31,4,0,2005,12,0.12903225806451613
2006-01-01,10.346666666666666,75.49600000000001,291.1,25,30,True,31,5,1,2006,1,0.16129032258064516
2006-02-01,11.571428571428571,70.5037037037037,62.3,27,24,True,28,1,0,2006,2,0.03571428571428571
2006-03-01,11.139999999999999,73.56896551724138,159.6,29,28,True,31,1,1,2006,3,0.03225806451612903
2006-04-01,10.403333333333334,66.51379310344828,44.6,29,29,True,30,1,0,2006,4,0.03333333333333333
2006-05-01,8.16,56.65333333333333,0.9,30,31,True,31,0,1,2006,5,0.0
2006-06-01,7.603448275862069,56.52413793103448,0.0,29,29,True,30,0,1,2006,6,0.0
2006-07-01,6.73,51.37,0.0,30,31,True,31,0,1,2006,7,0.0
2006-08-01,8.936666666666667,55.86666666666667,,30,24,True,31,0,1,2006,8,0.0
2006-09-01,10.285185185185185,52.04,21.2,25,26,True,30,2,3,2006,9,0.06666666666666667
2006-10-01,11.861290322580645,54.303703703703704,37.4,27,28,True,31,4,0,2006,10,0.12903225806451613
2006-11-01,12.33448275862069,,53.800000000000004,22,28,True,30,7,1,2006,11,0.23333333333333334
2006-12-01,12.345161290322581,64.88,101.5,25,29,True,31,6,0,2006,12,0.1935483870967742
2007-01-01,12.074193548387097,,84.8,23,27,True,31,8,0,2007,1,0.25806451612903225
2007-02-01,11.789285714285715,69.36,171.0,25,27,True,28,3,0,2007,2,0.10714285714285714
2007-03-01,10.538709677419355,75.08928571428571,236.70000000000002,28,30,True,31,3,0,2007,3,0.0967741935483871
2007-04-01,10.639999999999999,70.17241379310344,49.699999999999996,29,30,True,30,1,0,2007,4,0.03333333333333333
