ym,tmean,tmax,tmin,rh,precip,n_tmean,n_rh,n_precip,days_expected,days_missing,longest_gap,n_calibrated,wmo_valid,dtr,year,month
2003-01-01,11.871869939512312,16.35483870967742,6.354838709677419,,174.5,31,23,30,31,0,0,8,True,10.0,2003,1
2003-02-01,11.67864006406372,16.342857142857145,6.421428571428572,70.51666666666667,114.39999999999999,28,24,28,28,0,0,4,True,9.921428571428574,2003,2
2003-03-01,10.854727923268864,15.44516129032258,5.858064516129032,73.1923076923077,114.4,31,26,30,31,0,0,5,True,9.587096774193549,2003,3
2003-04-01,10.566666666666666,15.786666666666667,3.533333333333333,62.89666666666667,46.1,30,30,28,30,0,0,0,True,12.253333333333334,2003,4
2003-05-01,8.955644968149203,14.606451612903227,1.5290322580645161,58.223333333333336,36.7,31,30,29,31,0,0,1,True,13.07741935483871,2003,5
2003-06-01,6.59,13.946666666666665,-1.3333333333333333,57.6,4.8,30,30,30,30,0,0,0,True,15.28,2003,6
2003-07-01,7.216129032258065,14.516129032258064,-1.070967741935484,58.3,0.2,31,31,28,31,0,0,0,True,15.587096774193547,2003,7
2003-08-01,8.23346597768219,14.95483870967742,-0.1290322580645161,58.38,9.6,31,30,29,31,0,0,1,True,15.083870967741936,2003,8
2003-09-01,9.758764391465622,15.2,1.12,55.99310344827586,42.900000000000006,30,29,26,30,0,0,1,True,14.079999999999998,2003,9
2003-10-01,11.701788245783229,16.729032258064517,3.361290322580645,53.56551724137931,25.4,31,29,26,31,0,0,2,True,13.367741935483872,2003,10
2003-11-01,12.742476513524142,18.133333333333333,4.373333333333333,52.20769230769231,8.6,30,26,27,30,0,0,4,True,13.76,2003,11
2003-12-01,12.583034749911912,17.87741935483871,5.741935483870968,,131.8,31,23,29,31,0,0,8,True,12.135483870967743,2003,12
2004-01-01,10.705691463160111,14.896774193548387,6.367741935483871,77.9962962962963,208.9,31,27,30,31,0,0,4,True,8.529032258064515,2004,1
2004-02-01,11.471832876859315,15.682758620689656,6.124137931034483,71.48846153846154,125.2,29,26,26,29,0,0,3,True,9.558620689655173,2004,2
2004-03-01,11.946501000118387,16.52258064516129,5.883870967741935,66.07000000000001,115.5,31,30,27,31,0,0,1,True,10.638709677419357,2004,3
2004-04-01,10.915923527829687,16.006666666666668,4.113333333333333,65.45555555555555,29.2,30,27,25,30,0,0,3,True,11.893333333333334,2004,4
2004-05-01,8.903225806451612,15.64516129032258,0.0,51.225806451612904,6.2,31,31,31,31,0,0,0,True,15.64516129032258,2004,5
2004-06-01,7.131754013356173,13.860000000000001,-1.18,52.83793103448276,0.0,30,29,27,30,0,0,1,True,15.040000000000001,2004,6
2004-07-01,7.274651298262789,13.890322580645162,-0.6064516129032258,55.317241379310346,10.2,31,29,30,31,0,0,2,True,14.496774193548386,2004,7
2004-08-01,8.458620689655174,14.04,0.76,62.88965517241379,43.0,29,29,27,31,2,1,0,True,13.28,2004,8
2004-09-01,10.528378330791933,15.686666666666667,2.3733333333333335,58.11785714285714,34.3,30,28,27,30,0,0,2,True,13.313333333333334,2004,9
2004-10-01,11.977362487092817,17.53548387096774,3.864516129032258,51.36896551724138,5.6000000000000005,31,29,27,31,0,0,2,True,13.670967741935485,2004,10
2004-11-01,,,,,,0,0,0,30,30,30,0,False,,2004,11
2004-12-01,12.86803534237231,17.75172413793103,6.329032258064516,,59.1,29,24,28,31,2,2,5,True,11.422691879866516,2004,12
2005-01-01,12.081070356680097,16.56551724137931,6.387096774193548,,103.3,29,24,26,31,2,1,5,True,10.178420467185763,2005,1
2005-02-01,10.966251236345173,15.5,5.857142857142857,71.65416666666667,157.9,28,24,28,28,0,0,4,True,9.642857142857142,2005,2
2005-03-01,11.735286983933888,16.413793103448278,5.664516129032258,65.692,134.6,29,25,31,31,2,1,4,True,10.74927697441602,2005,3
2005-04-01,11.070444582833701,16.47586206896552,4.166666666666667,62.614285714285714,45.7,29,28,29,30,1,1,1,True,12.309195402298851,2005,4
2005-05-01,9.226666666666667,15.906666666666666,0.767741935483871,52.88333333333333,0.4,30,30,31,31,1,1,0,True,15.138924731182795,2005,5
2005-06-01,6.59,14.78,-1.9733333333333334,52.57666666666667,0.0,30,30,30,30,0,0,0,True,16.753333333333334,2005,6
2005-07-01,7.953333333333333,15.686666666666667,-0.5419354838709678,47.873333333333335,0.0,30,30,31,31,1,1,0,True,16.228602150537636,2005,7
2005-08-01,8.517241379310345,15.986206896551725,-0.6709677419354839,46.679310344827584,0.0,29,29,30,31,2,1,0,True,16.65717463848721,2005,8
2005-09-01,10.195223536540245,16.813333333333333,2.2,48.88965517241379,11.8,30,29,29,30,0,0,1,True,14.613333333333333,2005,9
2005-10-01,11.641948725570547,17.0,3.8193548387096774,52.79600000000001,39.5,29,25,26,31,2,1,4,True,13.180645161290322,2005,10
2005-11-01,12.36911804842531,17.1,4.573333333333333,56.24814814814815,80.5,28,27,24,30,2,1,1,True,12.526666666666667,2005,11
2005-12-01,12.430694605384462,17.270967741935483,6.329032258064516,62.75185185185185,97.4,31,27,27,31,0,0,4,True,10.941935483870967,2005,12
2006-01-01,10.472784349367888,15.058064516129033,5.64,75.49600000000001,291.1,30,25,30,31,1,1,5,True,9.418064516129032,2006,1
2006-02-01,11.598724772945571,16.3,5.95,70.5037037037037,62.3,28,27,24,28,0,0,1,True,10.350000000000001,2006,2
2006-03-01,11.16269435445069,16.133333333333333,6.174193548387097,73.56896551724138,159.6,30,29,28,31,1,1,1,True,9.959139784946235,2006,3
2006-04-01,10.430580215545222,15.4,4.28,66.51379310344828,44.6,30,29,29,30,0,0,1,True,11.120000000000001,2006,4
2006-05-01,8.16,15.020000000000001,-0.3225806451612903,56.65333333333333,0.9,30,30,31,31,1,1,0,True,15.342580645161291,2006,5
