station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Ayaviri,2000-01-01,5.75,9.32,3.08,87.84,14.73,2.44,60.91,-15.25,-69.29,3918
Ayaviri,2000-01-02,6.62,11.85,2.33,79.05,1.46,2.9,60.92,-15.25,-69.29,3918
Ayaviri,2000-01-03,7.56,13.0,3.71,75.75,0.01,2.64,60.89,-15.25,-69.29,3918
Ayaviri,2000-01-04,6.32,11.93,1.85,78.97,0.79,1.83,60.85,-15.25,-69.29,3918
Ayaviri,2000-01-05,5.11,10.78,0.94,80.9,8.86,2.46,60.88,-15.25,-69.29,3918
Ayaviri,2000-01-06,4.82,9.72,1.16,81.69,4.28,3.44,60.95,-15.25,-69.29,3918
Ayaviri,2000-01-07,5.13,11.74,-0.83,73.42,2.31,2.48,60.93,-15.25,-69.29,3918
Ayaviri,2000-01-08,6.06,13.23,-1.27,70.44,3.86,2.66,60.92,-15.25,-69.29,3918
Ayaviri,2000-01-09,5.19,11.84,-0.51,75.68,0.67,3.59,60.96,-15.25,-69.29,3918
Ayaviri,2000-01-10,4.95,11.77,-0.96,75.43,3.0,2.57,60.97,-15.25,-69.29,3918
Ayaviri,2000-01-11,5.4,12.35,0.37,78.9,2.56,2.83,60.93,-15.25,-69.29,3918
Ayaviri,2000-01-12,6.5,13.19,0.64,77.09,0.45,2.94,60.9,-15.25,-69.29,3918
Ayaviri,2000-01-13,6.98,13.34,1.26,78.15,1.69,2.75,60.9,-15.25,-69.29,3918
Ayaviri,2000-01-14,7.88,14.39,2.87,75.98,1.84,2.78,60.84,-15.25,-69.29,3918
Ayaviri,2000-01-15,5.73,10.92,1.97,81.08,16.66,2.34,60.76,-15.25,-69.29,3918
Ayaviri,2000-01-16,5.25,11.29,0.98,81.84,7.81,1.76,60.77,-15.25,-69.29,3918
Ayaviri,2000-01-17,5.58,10.87,1.15,82.48,0.6,3.12,60.89,-15.25,-69.29,3918
Ayaviri,2000-01-18,5.61,12.14,-0.41,81.26,0.56,3.82,61.16,-15.25,-69.29,3918
Ayaviri,2000-01-19,3.91,9.3,-0.79,80.76,8.72,3.64,61.2,-15.25,-69.29,3918
Ayaviri,2000-01-20,5.54,11.46,0.64,80.74,1.71,2.56,61.08,-15.25,-69.29,3918
Ayaviri,2000-01-21,6.72,12.39,2.51,80.22,0.7,1.58,60.97,-15.25,-69.29,3918
Ayaviri,2000-01-22,5.89,12.64,2.07,83.99,0.93,2.46,60.97,-15.25,-69.29,3918
Ayaviri,2000-01-23,6.07,11.64,2.14,82.26,1.16,2.83,60.99,-15.25,-69.29,3918
Ayaviri,2000-01-24,6.34,12.78,0.87,81.62,7.32,2.73,60.97,-15.25,-69.29,3918
Ayaviri,2000-01-25,7.12,12.77,2.89,82.14,5.42,3.26,60.96,-15.25,-69.29,3918
Ayaviri,2000-01-26,5.71,10.22,2.52,82.14,4.02,2.73,61.04,-15.25,-69.29,3918
Ayaviri,2000-01-27,6.08,11.25,2.42,84.36,3.1,3.23,61.05,-15.25,-69.29,3918
Ayaviri,2000-01-28,6.02,11.98,0.99,84.79,3.51,2.25,60.96,-15.25,-69.29,3918
Ayaviri,2000-01-29,5.87,12.38,2.43,83.52,1.75,2.02,60.88,-15.25,-69.29,3918
Ayaviri,2000-01-30,4.99,10.64,1.17,85.02,1.45,1.86,61.0,-15.25,-69.29,3918
