station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Azangaro,2000-01-01,7.13,11.75,3.24,80.45,13.78,2.05,62.4,-14.89,-70.1,3859
Azangaro,2000-01-02,8.78,15.95,2.06,67.9,0.75,1.84,62.4,-14.89,-70.1,3859
Azangaro,2000-01-03,10.4,18.17,3.19,57.67,0.06,1.74,62.37,-14.89,-70.1,3859
Azangaro,2000-01-04,10.1,18.83,2.66,58.22,0.18,1.49,62.32,-14.89,-70.1,3859
Azangaro,2000-01-05,8.47,16.67,1.59,62.95,3.36,2.06,62.35,-14.89,-70.1,3859
Azangaro,2000-01-06,7.96,14.54,2.8,69.13,1.36,2.68,62.4,-14.89,-70.1,3859
Azangaro,2000-01-07,9.28,18.75,0.06,61.68,0.64,1.96,62.37,-14.89,-70.1,3859
Azangaro,2000-01-08,10.38,19.65,2.54,60.94,3.79,2.11,62.35,-14.89,-70.1,3859
Azangaro,2000-01-09,9.73,17.99,2.58,61.45,0.51,3.14,62.4,-14.89,-70.1,3859
Azangaro,2000-01-10,8.43,16.63,1.01,67.32,8.83,2.12,62.44,-14.89,-70.1,3859
Azangaro,2000-01-11,7.79,15.4,1.5,70.92,1.84,2.01,62.41,-14.89,-70.1,3859
Azangaro,2000-01-12,8.99,17.68,1.33,69.62,1.2,2.27,62.38,-14.89,-70.1,3859
Azangaro,2000-01-13,9.95,19.67,1.74,64.67,2.43,2.05,62.36,-14.89,-70.1,3859
Azangaro,2000-01-14,10.39,19.12,3.24,63.45,4.32,1.52,62.3,-14.89,-70.1,3859
Azangaro,2000-01-15,8.28,16.15,1.61,71.15,19.34,2.42,62.24,-14.89,-70.1,3859
Azangaro,2000-01-16,6.92,14.18,1.29,70.56,5.67,1.19,62.27,-14.89,-70.1,3859
Azangaro,2000-01-17,8.31,16.57,1.97,70.54,1.53,2.37,62.34,-14.89,-70.1,3859
Azangaro,2000-01-18,8.22,17.39,-0.56,69.99,0.68,2.71,62.63,-14.89,-70.1,3859
Azangaro,2000-01-19,7.27,14.82,1.1,70.63,7.01,2.71,62.68,-14.89,-70.1,3859
Azangaro,2000-01-20,8.52,16.46,2.09,66.13,0.96,1.8,62.54,-14.89,-70.1,3859
Azangaro,2000-01-21,9.39,17.12,3.13,67.58,1.7,1.83,62.44,-14.89,-70.1,3859
Azangaro,2000-01-22,7.62,15.99,2.03,72.71,1.66,1.67,62.47,-14.89,-70.1,3859
Azangaro,2000-01-23,7.97,16.54,1.28,70.65,1.25,1.77,62.47,-14.89,-70.1,3859
Azangaro,2000-01-24,8.99,17.8,2.0,67.97,2.61,1.81,62.43,-14.89,-70.1,3859
Azangaro,2000-01-25,9.96,18.4,3.38,67.48,1.75,2.04,62.42,-14.89,-70.1,3859
Azangaro,2000-01-26,9.0,15.07,2.94,64.68,0.91,1.8,62.51,-14.89,-70.1,3859
Azangaro,2000-01-27,7.42,15.42,1.54,73.89,0.9,2.46,62.53,-14.89,-70.1,3859
Azangaro,2000-01-28,8.82,17.2,2.53,71.26,1.8,2.02,62.42,-14.89,-70.1,3859
Azangaro,2000-01-29,9.01,17.49,2.3,66.9,0.73,2.05,62.36,-14.89,-70.1,3859
Azangaro,2000-01-30,7.2,14.07,2.02,71.98,1.58,1.18,62.49,-14.89,-70.1,3859
Azangaro,2000-01-31,7.74,15.71,2.58,74.09,0.34,1.72,62.65,-14.89,-70.1,3859
Azangaro,2000-02-01,9.78,19.22,1.81,67.27,0.53,2.08,62.65,-14.89,-70.1,3859
Azangaro,2000-02-02,9.38,16.75,3.29,70.74,4.81,2.13,62.54,-14.89,-70.1,3859
Azangaro,2000-02-03,9.47,17.44,2.14,66.02,0.92,1.39,62.42,-14.89,-70.1,3859
Azangaro,2000-02-04,9.43,19.6,2.58,60.19,0.28,2.04,62.41,-14.89,-70.1,3859
Azangaro,2000-02-05,10.21,19.05,1.78,62.78,10.86,1.91,62.48,-14.89,-70.1,3859
Azangaro,2000-02-06,7.73,13.82,3.03,69.15,0.39,1.91,62.6,-14.89,-70.1,3859
Azangaro,2000-02-07,8.1,18.29,0.86,71.71,1.62,1.83,62.6,-14.89,-70.1,3859
Azangaro,2000-02-08,8.03,16.6,1.67,71.43,1.0,1.53,62.56,-14.89,-70.1,3859
Azangaro,2000-02-09,7.85,17.82,2.02,70.99,2.21,2.11,62.5,-14.89,-70.1,3859
Azangaro,2000-02-10,6.41,11.55,2.69,79.12,23.14,1.01,62.45,-14.89,-70.1,3859
Azangaro,2000-02-11,8.19,16.65,1.17,70.6,1.55,2.15,62.38,-14.89,-70.1,3859
Azangaro,2000-02-12,7.76,15.39,1.48,70.92,0.45,2.12,62.38,-14.89,-70.1,3859
Azangaro,2000-02-13,8.66,16.1,3.79,70.86,0.27,2.6,62.41,-14.89,-70.1,3859
Azangaro,2000-02-14,8.61,16.65,1.87,70.86,1.39,2.54,62.54,-14.89,-70.1,3859
Azangaro,2000-02-15,7.54,15.42,1.71,72.01,1.28,2.5,62.61,-14.89,-70.1,3859
Azangaro,2000-02-16,7.29,15.51,1.06,72.13,4.95,2.65,62.61,-14.89,-70.1,3859
Azangaro,2000-02-17,6.85,15.36,0.59,71.59,1.02,2.14,62.57,-14.89,-70.1,3859
Azangaro,2000-02-18,7.37,15.54,0.38,71.69,1.09,2.01,62.51,-14.89,-70.1,3859
Azangaro,2000-02-19,7.47,16.47,-0.09,72.26,4.8,2.02,62.55,-14.89,-70.1,3859
Azangaro,2000-02-20,7.76,16.38,-0.13,72.31,1.66,2.19,62.57,-14.89,-70.1,3859
Azangaro,2000-02-21,8.39,17.3,1.29,69.99,0.27,2.23,62.51,-14.89,-70.1,3859
Azangaro,2000-02-22,8.07,15.86,1.82,75.16,16.51,1.73,62.46,-14.89,-70.1,3859
Azangaro,2000-02-23,8.48,16.34,3.43,75.34,2.81,1.7,62.44,-14.89,-70.1,3859
Azangaro,2000-02-24,7.38,14.17,1.76,77.02,0.96,2.08,62.46,-14.89,-70.1,3859
Azangaro,2000-02-25,7.74,16.32,1.1,75.25,13.75,2.13,62.44,-14.89,-70.1,3859
Azangaro,2000-02-26,8.07,16.98,0.2,72.27,5.24,1.46,62.49,-14.89,-70.1,3859
Azangaro,2000-02-27,9.13,16.71,4.0,73.14,0.86,1.74,62.46,-14.89,-70.1,3859
Azangaro,2000-02-28,8.36,15.08,3.13,74.76,0.74,2.37,62.45,-14.89,-70.1,3859
Azangaro,2000-02-29,7.59,14.16,2.61,74.93,1.32,1.93,62.61,-14.89,-70.1,3859
Azangaro,2000-03-01,8.69,17.26,1.59,76.09,12.82,1.71,62.62,-14.89,-70.1,3859
Azangaro,2000-03-02,8.99,17.98,1.65,73.44,8.61,1.78,62.55,-14.89,-70.1,3859
Azangaro,2000-03-03,8.39,17.7,0.0,75.14,14.34,1.65,62.48,-14.89,-70.1,3859
Azangaro,2000-03-04,8.58,17.19,2.09,74.41,0.9,2.07,62.5,-14.89,-70.1,3859
Azangaro,2000-03-05,8.3,15.62,2.07,76.73,8.83,2.32,62.56,-14.89,-70.1,3859
Azangaro,2000-03-06,8.63,15.56,3.4,74.84,1.83,1.98,62.6,-14.89,-70.1,3859
Azangaro,2000-03-07,8.32,15.89,2.57,76.35,2.06,2.03,62.57,-14.89,-70.1,3859
Azangaro,2000-03-08,8.66,16.83,2.5,73.5,2.19,1.45,62.4,-14.89,-70.1,3859
Azangaro,2000-03-09,8.31,15.08,2.32,75.68,6.32,1.62,62.41,-14.89,-70.1,3859
Azangaro,2000-03-10,7.75,14.18,3.48,77.05,6.08,1.31,62.47,-14.89,-70.1,3859
