station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Crucero,2000-01-01,5.33,11.46,1.44,83.33,13.34,2.11,60.4,-14.34538,-70.0321,4130
Crucero,2000-01-02,5.77,10.76,0.78,80.62,0.95,2.59,60.42,-14.34538,-70.0321,4130
Crucero,2000-01-03,7.14,15.43,1.07,69.74,0.12,2.66,60.41,-14.34538,-70.0321,4130
Crucero,2000-01-04,5.56,12.7,1.39,77.07,0.34,2.2,60.38,-14.34538,-70.0321,4130
Crucero,2000-01-05,4.92,10.05,-0.37,78.8,5.87,2.41,60.38,-14.34538,-70.0321,4130
Crucero,2000-01-06,4.96,11.24,0.73,77.6,3.06,3.4,60.45,-14.34538,-70.0321,4130
Crucero,2000-01-07,6.0,13.19,-0.56,73.66,1.51,2.98,60.43,-14.34538,-70.0321,4130
Crucero,2000-01-08,7.13,14.63,1.55,71.3,3.79,2.87,60.4,-14.34538,-70.0321,4130
Crucero,2000-01-09,6.23,12.42,1.16,73.93,1.07,3.81,60.42,-14.34538,-70.0321,4130
Crucero,2000-01-10,5.52,12.3,-1.14,75.72,5.91,2.64,60.44,-14.34538,-70.0321,4130
Crucero,2000-01-11,5.45,11.33,-0.28,76.07,2.31,2.47,60.43,-14.34538,-70.0321,4130
Crucero,2000-01-12,6.07,13.77,0.94,76.21,1.22,2.31,60.38,-14.34538,-70.0321,4130
Crucero,2000-01-13,6.32,14.05,-0.09,75.58,1.5,2.56,60.41,-14.34538,-70.0321,4130
Crucero,2000-01-14,6.89,14.97,1.57,73.58,2.28,1.73,60.34,-14.34538,-70.0321,4130
Crucero,2000-01-15,5.49,13.36,0.92,79.56,18.37,2.37,60.26,-14.34538,-70.0321,4130
Crucero,2000-01-16,3.02,8.09,-0.75,84.99,8.98,1.82,60.32,-14.34538,-70.0321,4130
Crucero,2000-01-17,4.87,11.14,0.22,81.48,1.23,2.58,60.42,-14.34538,-70.0321,4130
Crucero,2000-01-18,5.2,12.87,-1.76,78.41,1.12,3.09,60.65,-14.34538,-70.0321,4130
Crucero,2000-01-19,4.58,11.12,-0.95,78.53,9.77,3.2,60.67,-14.34538,-70.0321,4130
Crucero,2000-01-20,5.71,12.42,0.38,77.16,1.41,2.74,60.6,-14.34538,-70.0321,4130
Crucero,2000-01-21,6.87,13.96,1.82,75.74,0.31,1.52,60.5,-14.34538,-70.0321,4130
Crucero,2000-01-22,5.52,11.08,1.75,82.04,4.54,1.78,60.48,-14.34538,-70.0321,4130
Crucero,2000-01-23,4.89,11.75,1.17,82.16,2.04,1.78,60.5,-14.34538,-70.0321,4130
Crucero,2000-01-24,5.4,13.08,0.69,80.2,4.05,1.53,60.48,-14.34538,-70.0321,4130
Crucero,2000-01-25,6.38,13.59,1.68,80.1,3.69,2.54,60.45,-14.34538,-70.0321,4130
Crucero,2000-01-26,5.62,9.94,2.25,79.72,2.26,2.62,60.54,-14.34538,-70.0321,4130
Crucero,2000-01-27,4.12,8.99,1.69,89.08,0.66,2.69,60.56,-14.34538,-70.0321,4130
Crucero,2000-01-28,5.69,12.59,0.9,81.95,1.6,1.91,60.48,-14.34538,-70.0321,4130
Crucero,2000-01-29,5.75,12.56,1.3,80.9,1.32,1.85,60.42,-14.34538,-70.0321,4130
Crucero,2000-01-30,4.82,10.51,0.26,83.87,1.17,1.67,60.54,-14.34538,-70.0321,4130
Crucero,2000-01-31,5.93,11.86,1.51,83.09,1.03,2.44,60.67,-14.34538,-70.0321,4130
Crucero,2000-02-01,6.34,13.21,0.59,79.59,0.76,2.46,60.72,-14.34538,-70.0321,4130
Crucero,2000-02-02,6.89,12.88,2.08,79.3,5.24,1.64,60.61,-14.34538,-70.0321,4130
Crucero,2000-02-03,5.37,11.55,1.2,79.55,1.92,1.8,60.5,-14.34538,-70.0321,4130
Crucero,2000-02-04,4.86,11.7,0.91,81.55,0.9,2.31,60.49,-14.34538,-70.0321,4130
Crucero,2000-02-05,6.49,13.83,1.3,77.63,10.99,1.96,60.56,-14.34538,-70.0321,4130
Crucero,2000-02-06,4.74,11.99,0.15,81.84,0.79,1.59,60.63,-14.34538,-70.0321,4130
Crucero,2000-02-07,5.81,13.69,0.71,81.03,1.31,2.11,60.64,-14.34538,-70.0321,4130
