station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Desaguadero,2000-01-01,6.72,10.27,2.51,82.61,5.95,1.72,63.04,-16.56556,-69.04167,3808
Desaguadero,2000-01-02,9.13,15.27,4.53,70.96,1.07,2.93,63.03,-16.56556,-69.04167,3808
Desaguadero,2000-01-03,9.6,17.45,2.7,61.66,0.58,2.5,63.0,-16.56556,-69.04167,3808
Desaguadero,2000-01-04,9.12,16.5,4.02,66.49,0.67,1.74,62.93,-16.56556,-69.04167,3808
Desaguadero,2000-01-05,9.06,15.6,4.88,68.74,1.01,2.74,62.97,-16.56556,-69.04167,3808
Desaguadero,2000-01-06,8.18,15.47,2.59,67.72,0.32,4.04,63.07,-16.56556,-69.04167,3808
Desaguadero,2000-01-07,8.55,16.44,1.29,64.59,3.63,3.06,63.04,-16.56556,-69.04167,3808
Desaguadero,2000-01-08,9.2,15.79,3.68,67.79,10.13,2.79,63.03,-16.56556,-69.04167,3808
Desaguadero,2000-01-09,8.91,15.48,4.17,70.13,3.82,4.07,63.06,-16.56556,-69.04167,3808
Desaguadero,2000-01-10,8.43,15.93,1.83,71.17,7.36,3.07,63.06,-16.56556,-69.04167,3808
Desaguadero,2000-01-11,9.25,17.08,3.15,68.47,0.8,3.4,63.03,-16.56556,-69.04167,3808
Desaguadero,2000-01-12,9.65,17.28,3.1,69.27,0.25,3.15,63.0,-16.56556,-69.04167,3808
Desaguadero,2000-01-13,9.15,15.96,3.69,70.97,8.49,2.98,63.03,-16.56556,-69.04167,3808
Desaguadero,2000-01-14,9.81,16.29,4.25,69.81,1.58,2.44,62.97,-16.56556,-69.04167,3808
Desaguadero,2000-01-15,7.8,14.0,2.94,77.3,11.61,2.12,62.89,-16.56556,-69.04167,3808
Desaguadero,2000-01-16,6.1,12.06,1.68,81.62,3.32,3.16,62.89,-16.56556,-69.04167,3808
Desaguadero,2000-01-17,8.61,15.52,3.42,73.75,1.59,4.03,63.01,-16.56556,-69.04167,3808
Desaguadero,2000-01-18,8.91,15.9,2.8,72.47,2.81,4.25,63.3,-16.56556,-69.04167,3808
Desaguadero,2000-01-19,7.96,14.12,3.16,72.59,1.93,4.39,63.31,-16.56556,-69.04167,3808
Desaguadero,2000-01-20,8.06,13.52,3.41,72.09,3.45,2.97,63.2,-16.56556,-69.04167,3808
Desaguadero,2000-01-21,9.36,14.74,4.43,75.42,3.3,1.92,63.05,-16.56556,-69.04167,3808
Desaguadero,2000-01-22,8.05,13.66,2.82,78.96,0.43,2.97,63.08,-16.56556,-69.04167,3808
Desaguadero,2000-01-23,8.86,14.56,4.11,72.86,0.14,3.69,63.12,-16.56556,-69.04167,3808
Desaguadero,2000-01-24,9.6,16.74,3.89,69.98,8.59,2.85,63.09,-16.56556,-69.04167,3808
Desaguadero,2000-01-25,9.28,15.55,4.63,74.48,6.7,2.52,63.09,-16.56556,-69.04167,3808
Desaguadero,2000-01-26,8.25,14.75,4.14,73.48,3.47,2.96,63.16,-16.56556,-69.04167,3808
Desaguadero,2000-01-27,8.93,15.99,3.17,74.32,15.46,2.98,63.17,-16.56556,-69.04167,3808
Desaguadero,2000-01-28,8.43,16.35,3.77,76.22,7.97,2.0,63.08,-16.56556,-69.04167,3808
Desaguadero,2000-01-29,9.37,16.44,4.67,75.27,5.0,2.99,62.99,-16.56556,-69.04167,3808
Desaguadero,2000-01-30,7.08,11.72,3.0,79.78,2.67,2.14,63.11,-16.56556,-69.04167,3808
Desaguadero,2000-01-31,7.87,14.31,2.25,79.27,3.67,3.89,63.28,-16.56556,-69.04167,3808
Desaguadero,2000-02-01,9.05,15.43,3.21,76.25,7.81,3.57,63.32,-16.56556,-69.04167,3808
Desaguadero,2000-02-02,9.81,16.39,4.16,74.47,1.42,2.67,63.16,-16.56556,-69.04167,3808
Desaguadero,2000-02-03,6.82,12.65,2.78,78.74,5.71,2.77,63.07,-16.56556,-69.04167,3808
Desaguadero,2000-02-04,7.89,15.35,2.46,73.42,3.52,1.91,63.03,-16.56556,-69.04167,3808
Desaguadero,2000-02-05,9.23,16.93,2.42,67.69,0.87,1.52,63.13,-16.56556,-69.04167,3808
Desaguadero,2000-02-06,9.54,15.91,3.9,70.8,0.84,2.89,63.21,-16.56556,-69.04167,3808
Desaguadero,2000-02-07,9.4,15.44,4.75,76.99,8.32,3.28,63.25,-16.56556,-69.04167,3808
Desaguadero,2000-02-08,9.88,16.69,4.17,74.41,2.6,2.29,63.18,-16.56556,-69.04167,3808
Desaguadero,2000-02-09,7.42,12.46,3.67,81.28,3.43,1.37,63.11,-16.56556,-69.04167,3808
Desaguadero,2000-02-10,8.53,15.89,2.1,73.77,2.29,2.31,63.07,-16.56556,-69.04167,3808
Desaguadero,2000-02-11,10.49,17.31,5.38,66.72,0.76,1.96,63.05,-16.56556,-69.04167,3808
Desaguadero,2000-02-12,8.75,13.48,5.06,73.05,1.24,1.9,63.05,-16.56556,-69.04167,3808
Desaguadero,2000-02-13,8.88,14.93,3.94,70.58,0.27,3.01,63.07,-16.56556,-69.04167,3808
Desaguadero,2000-02-14,8.88,15.99,3.87,70.64,0.52,3.97,63.2,-16.56556,-69.04167,3808
Desaguadero,2000-02-15,8.12,15.91,2.53,72.64,0.58,3.37,63.24,-16.56556,-69.04167,3808
Desaguadero,2000-02-16,7.67,13.73,3.8,77.48,40.71,3.35,63.25,-16.56556,-69.04167,3808
Desaguadero,2000-02-17,7.31,14.12,2.79,78.04,16.63,3.5,63.21,-16.56556,-69.04167,3808
Desaguadero,2000-02-18,7.73,14.97,2.1,75.14,0.26,3.07,63.16,-16.56556,-69.04167,3808
Desaguadero,2000-02-19,8.13,15.11,2.16,74.22,0.19,3.05,63.2,-16.56556,-69.04167,3808
Desaguadero,2000-02-20,8.1,14.18,3.52,77.65,11.84,3.26,63.22,-16.56556,-69.04167,3808
Desaguadero,2000-02-21,8.32,15.05,3.41,75.43,3.13,3.41,63.17,-16.56556,-69.04167,3808
Desaguadero,2000-02-22,8.04,14.83,3.03,77.69,10.96,2.67,63.13,-16.56556,-69.04167,3808
Desaguadero,2000-02-23,8.43,14.95,3.45,76.84,3.68,2.77,63.1,-16.56556,-69.04167,3808
Desaguadero,2000-02-24,8.33,15.25,3.1,78.32,3.71,3.29,63.11,-16.56556,-69.04167,3808
Desaguadero,2000-02-25,8.25,14.96,3.5,78.48,5.46,3.61,63.1,-16.56556,-69.04167,3808
Desaguadero,2000-02-26,8.61,15.57,3.44,75.2,5.44,2.24,63.13,-16.56556,-69.04167,3808
Desaguadero,2000-02-27,9.72,16.51,5.21,72.95,2.21,2.07,63.09,-16.56556,-69.04167,3808
Desaguadero,2000-02-28,9.05,15.14,3.96,75.98,0.57,3.94,63.12,-16.56556,-69.04167,3808
Desaguadero,2000-02-29,8.35,13.66,4.35,78.32,2.3,3.57,63.25,-16.56556,-69.04167,3808
Desaguadero,2000-03-01,9.28,16.41,3.72,76.24,1.17,2.44,63.26,-16.56556,-69.04167,3808
Desaguadero,2000-03-02,9.41,15.68,4.76,74.96,1.03,2.8,63.2,-16.56556,-69.04167,3808
Desaguadero,2000-03-03,9.42,16.44,3.58,73.95,1.39,2.49,63.13,-16.56556,-69.04167,3808
