station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Juliaca,2000-01-01,7.75,10.56,3.43,81.48,15.03,2.53,63.78,-15.49,-70.13,3824
Juliaca,2000-01-02,10.69,16.54,5.84,65.93,1.36,2.48,63.73,-15.49,-70.13,3824
Juliaca,2000-01-03,11.0,17.78,6.32,61.62,0.01,2.29,63.73,-15.49,-70.13,3824
Juliaca,2000-01-04,11.11,20.04,3.2,56.57,0.19,1.96,63.68,-15.49,-70.13,3824
Juliaca,2000-01-05,9.81,16.44,3.14,61.09,2.02,2.61,63.71,-15.49,-70.13,3824
Juliaca,2000-01-06,9.98,15.21,6.33,65.23,1.03,3.49,63.77,-15.49,-70.13,3824
Juliaca,2000-01-07,10.68,18.22,4.96,58.47,1.22,2.86,63.74,-15.49,-70.13,3824
Juliaca,2000-01-08,10.76,17.76,5.05,58.32,5.05,2.99,63.74,-15.49,-70.13,3824
Juliaca,2000-01-09,10.44,17.3,4.56,62.07,0.49,3.99,63.76,-15.49,-70.13,3824
Juliaca,2000-01-10,10.25,16.37,5.29,60.19,5.56,3.1,63.78,-15.49,-70.13,3824
Juliaca,2000-01-11,10.16,16.23,5.58,63.73,1.0,3.09,63.75,-15.49,-70.13,3824
Juliaca,2000-01-12,10.99,17.58,5.56,63.31,0.84,3.26,63.71,-15.49,-70.13,3824
Juliaca,2000-01-13,11.32,18.63,5.68,63.07,4.52,2.96,63.72,-15.49,-70.13,3824
Juliaca,2000-01-14,11.86,18.3,7.04,60.75,3.88,2.34,63.65,-15.49,-70.13,3824
Juliaca,2000-01-15,9.47,14.77,2.47,70.65,17.77,2.18,63.61,-15.49,-70.13,3824
Juliaca,2000-01-16,7.85,13.58,2.02,71.78,6.61,1.74,63.64,-15.49,-70.13,3824
Juliaca,2000-01-17,10.11,16.55,4.78,65.15,1.55,3.19,63.7,-15.49,-70.13,3824
Juliaca,2000-01-18,9.81,17.65,2.88,65.64,0.83,3.57,63.99,-15.49,-70.13,3824
Juliaca,2000-01-19,8.34,13.23,4.17,70.1,4.49,3.84,64.05,-15.49,-70.13,3824
Juliaca,2000-01-20,9.88,15.63,5.47,65.98,0.96,2.28,63.91,-15.49,-70.13,3824
Juliaca,2000-01-21,10.62,17.11,6.11,66.19,3.39,1.64,63.8,-15.49,-70.13,3824
Juliaca,2000-01-22,8.75,16.21,3.46,71.44,0.66,2.2,63.82,-15.49,-70.13,3824
Juliaca,2000-01-23,9.65,17.25,2.9,68.89,0.45,2.89,63.83,-15.49,-70.13,3824
Juliaca,2000-01-24,10.93,17.98,5.4,66.94,1.75,2.51,63.8,-15.49,-70.13,3824
Juliaca,2000-01-25,11.17,17.49,6.56,69.1,2.99,2.83,63.78,-15.49,-70.13,3824
Juliaca,2000-01-26,10.97,16.66,7.32,62.15,1.08,2.6,63.86,-15.49,-70.13,3824
Juliaca,2000-01-27,9.95,18.13,3.05,68.73,1.29,3.14,63.9,-15.49,-70.13,3824
Juliaca,2000-01-28,10.62,17.4,5.06,67.91,3.56,2.8,63.79,-15.49,-70.13,3824
Juliaca,2000-01-29,11.19,19.5,5.21,62.39,1.01,2.35,63.7,-15.49,-70.13,3824
Juliaca,2000-01-30,7.69,12.86,4.26,72.66,1.7,1.81,63.89,-15.49,-70.13,3824
Juliaca,2000-01-31,8.08,16.02,3.62,73.13,0.2,1.87,64.03,-15.49,-70.13,3824
Juliaca,2000-02-01,11.62,19.57,4.46,61.06,0.21,2.59,64.01,-15.49,-70.13,3824
Juliaca,2000-02-02,11.4,18.37,6.73,63.2,4.89,2.14,63.89,-15.49,-70.13,3824
Juliaca,2000-02-03,10.55,17.59,4.69,63.15,1.23,2.34,63.8,-15.49,-70.13,3824
Juliaca,2000-02-04,11.29,21.09,3.45,51.45,0.43,1.81,63.76,-15.49,-70.13,3824
Juliaca,2000-02-05,11.53,19.45,4.31,56.19,11.01,2.42,63.86,-15.49,-70.13,3824
Juliaca,2000-02-06,9.85,14.71,4.98,64.38,0.13,2.45,63.97,-15.49,-70.13,3824
Juliaca,2000-02-07,11.09,18.52,5.97,66.83,2.24,2.63,63.96,-15.49,-70.13,3824
Juliaca,2000-02-08,10.92,18.78,3.58,63.67,0.4,2.36,63.9,-15.49,-70.13,3824
Juliaca,2000-02-09,10.38,16.58,3.77,63.43,1.45,2.16,63.83,-15.49,-70.13,3824
Juliaca,2000-02-10,8.04,10.66,5.62,76.86,23.37,1.77,63.81,-15.49,-70.13,3824
Juliaca,2000-02-11,10.2,16.98,5.89,70.05,1.79,2.44,63.77,-15.49,-70.13,3824
Juliaca,2000-02-12,9.49,14.25,5.93,68.94,0.15,2.29,63.77,-15.49,-70.13,3824
Juliaca,2000-02-13,9.84,15.85,5.3,66.96,0.05,3.6,63.79,-15.49,-70.13,3824
Juliaca,2000-02-14,9.45,14.95,5.32,71.27,0.92,3.69,63.91,-15.49,-70.13,3824
Juliaca,2000-02-15,9.38,15.44,4.53,67.7,0.44,3.36,63.96,-15.49,-70.13,3824
Juliaca,2000-02-16,8.43,14.17,4.13,72.66,4.99,3.77,63.98,-15.49,-70.13,3824
Juliaca,2000-02-17,8.57,14.79,3.78,70.47,1.28,3.41,63.94,-15.49,-70.13,3824
Juliaca,2000-02-18,9.09,15.14,4.04,67.83,0.99,2.93,63.88,-15.49,-70.13,3824
Juliaca,2000-02-19,9.5,16.2,4.64,68.08,4.37,2.86,63.9,-15.49,-70.13,3824
Juliaca,2000-02-20,9.4,15.65,4.4,68.48,3.47,3.05,63.94,-15.49,-70.13,3824
Juliaca,2000-02-21,10.0,16.81,4.74,65.45,0.61,3.28,63.88,-15.49,-70.13,3824
Juliaca,2000-02-22,10.09,16.18,5.13,69.18,18.2,2.32,63.84,-15.49,-70.13,3824
Juliaca,2000-02-23,10.54,16.27,6.72,71.37,5.14,2.53,63.8,-15.49,-70.13,3824
Juliaca,2000-02-24,9.88,15.33,5.61,73.58,1.16,2.83,63.82,-15.49,-70.13,3824
