station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Lampa,2000-01-01,5.5,10.94,1.22,78.6,13.47,3.07,59.98,-15.35,-70.36667,3872
Lampa,2000-01-02,7.26,13.15,2.03,67.71,1.13,1.74,59.98,-15.35,-70.36667,3872
Lampa,2000-01-03,6.78,13.81,1.33,68.28,0.02,2.27,59.98,-15.35,-70.36667,3872
Lampa,2000-01-04,7.27,17.84,-0.3,60.74,0.12,2.33,59.91,-15.35,-70.36667,3872
Lampa,2000-01-05,6.6,14.14,0.67,59.62,1.88,2.67,59.93,-15.35,-70.36667,3872
Lampa,2000-01-06,6.75,14.17,0.94,68.3,0.75,3.21,59.97,-15.35,-70.36667,3872
Lampa,2000-01-07,7.73,16.07,1.25,63.49,0.69,2.21,59.96,-15.35,-70.36667,3872
Lampa,2000-01-08,8.19,16.27,2.43,63.74,4.53,2.17,59.96,-15.35,-70.36667,3872
Lampa,2000-01-09,8.17,16.6,1.37,63.58,0.47,3.43,59.97,-15.35,-70.36667,3872
Lampa,2000-01-10,7.4,14.65,1.78,67.41,11.91,2.78,60.0,-15.35,-70.36667,3872
Lampa,2000-01-11,6.83,13.59,1.7,70.64,1.71,2.62,59.99,-15.35,-70.36667,3872
Lampa,2000-01-12,7.99,15.51,1.61,68.13,1.33,2.88,59.96,-15.35,-70.36667,3872
Lampa,2000-01-13,8.49,16.62,2.17,66.39,4.78,2.3,59.95,-15.35,-70.36667,3872
Lampa,2000-01-14,7.59,14.13,3.17,69.31,4.35,2.12,59.92,-15.35,-70.36667,3872
Lampa,2000-01-15,5.17,12.15,0.85,74.94,16.62,2.75,59.85,-15.35,-70.36667,3872
Lampa,2000-01-16,4.21,9.62,0.15,74.63,5.69,2.05,59.85,-15.35,-70.36667,3872
Lampa,2000-01-17,6.0,15.06,-1.12,72.79,1.73,2.28,59.91,-15.35,-70.36667,3872
Lampa,2000-01-18,7.33,16.03,1.12,70.33,0.93,3.31,60.19,-15.35,-70.36667,3872
Lampa,2000-01-19,5.72,12.37,1.63,74.04,4.31,4.05,60.24,-15.35,-70.36667,3872
Lampa,2000-01-20,7.01,13.56,1.76,68.41,0.78,2.01,60.14,-15.35,-70.36667,3872
Lampa,2000-01-21,7.01,14.65,1.65,71.76,4.19,2.13,60.02,-15.35,-70.36667,3872
Lampa,2000-01-22,6.14,11.62,0.93,72.21,0.79,2.09,60.02,-15.35,-70.36667,3872
Lampa,2000-01-23,6.38,15.77,0.98,71.25,0.57,1.99,60.01,-15.35,-70.36667,3872
Lampa,2000-01-24,6.86,15.92,0.6,70.9,1.62,2.31,60.02,-15.35,-70.36667,3872
Lampa,2000-01-25,6.49,14.62,1.45,73.01,1.95,2.49,60.02,-15.35,-70.36667,3872
Lampa,2000-01-26,6.76,14.09,1.13,66.76,0.69,2.39,60.09,-15.35,-70.36667,3872
Lampa,2000-01-27,6.23,14.16,1.36,73.74,1.29,1.68,60.11,-15.35,-70.36667,3872
Lampa,2000-01-28,6.71,16.82,0.26,71.77,2.84,2.55,60.01,-15.35,-70.36667,3872
Lampa,2000-01-29,6.4,16.46,0.97,71.09,0.7,2.91,59.94,-15.35,-70.36667,3872
Lampa,2000-01-30,5.49,13.35,1.0,73.22,2.17,2.0,60.05,-15.35,-70.36667,3872
Lampa,2000-01-31,5.65,12.02,1.09,72.55,0.17,1.77,60.21,-15.35,-70.36667,3872
