station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Macusani,2000-01-01,4.41,10.28,1.57,88.41,11.59,1.65,60.3,-14.08333,-70.43333,4345
Macusani,2000-01-02,5.05,9.41,-0.37,82.33,0.71,2.27,60.33,-14.08333,-70.43333,4345
Macusani,2000-01-03,6.19,12.81,1.74,78.7,0.08,2.15,60.31,-14.08333,-70.43333,4345
Macusani,2000-01-04,4.96,9.5,0.98,84.05,0.46,1.64,60.28,-14.08333,-70.43333,4345
Macusani,2000-01-05,4.77,11.32,0.82,79.93,7.12,2.56,60.28,-14.08333,-70.43333,4345
Macusani,2000-01-06,4.4,8.86,1.57,85.59,5.63,2.94,60.34,-14.08333,-70.43333,4345
Macusani,2000-01-07,4.69,10.41,-0.04,82.19,2.24,2.4,60.33,-14.08333,-70.43333,4345
Macusani,2000-01-08,5.15,11.36,1.72,82.7,3.33,1.88,60.32,-14.08333,-70.43333,4345
Macusani,2000-01-09,4.25,8.69,1.04,87.47,2.7,2.24,60.34,-14.08333,-70.43333,4345
Macusani,2000-01-10,4.62,10.19,0.5,83.98,13.01,2.13,60.35,-14.08333,-70.43333,4345
Macusani,2000-01-11,4.99,10.44,1.21,83.96,5.19,2.26,60.33,-14.08333,-70.43333,4345
Macusani,2000-01-12,4.83,11.33,-0.17,84.6,1.75,1.92,60.3,-14.08333,-70.43333,4345
Macusani,2000-01-13,5.22,11.29,0.62,82.36,1.19,1.76,60.31,-14.08333,-70.43333,4345
Macusani,2000-01-14,4.79,9.57,1.38,85.06,1.08,0.95,60.27,-14.08333,-70.43333,4345
Macusani,2000-01-15,3.98,8.97,0.73,88.99,14.85,1.35,60.17,-14.08333,-70.43333,4345
Macusani,2000-01-16,3.26,7.37,-0.68,87.86,10.52,1.38,60.2,-14.08333,-70.43333,4345
Macusani,2000-01-17,4.22,9.06,0.77,87.47,2.19,2.13,60.31,-14.08333,-70.43333,4345
Macusani,2000-01-18,4.65,10.85,-1.12,82.57,3.57,2.7,60.54,-14.08333,-70.43333,4345
Macusani,2000-01-19,4.08,9.12,-0.3,84.9,18.04,2.77,60.56,-14.08333,-70.43333,4345
Macusani,2000-01-20,4.81,10.17,0.42,84.55,2.75,2.48,60.5,-14.08333,-70.43333,4345
Macusani,2000-01-21,5.34,12.15,-0.67,81.71,0.1,1.49,60.39,-14.08333,-70.43333,4345
Macusani,2000-01-22,5.06,10.18,1.13,85.93,5.69,2.02,60.39,-14.08333,-70.43333,4345
Macusani,2000-01-23,4.74,9.89,1.87,87.77,7.91,2.36,60.4,-14.08333,-70.43333,4345
Macusani,2000-01-24,5.21,11.87,1.4,85.04,4.55,1.31,60.37,-14.08333,-70.43333,4345
Macusani,2000-01-25,4.57,10.02,1.09,88.45,6.5,1.09,60.36,-14.08333,-70.43333,4345
Macusani,2000-01-26,4.95,10.07,1.38,87.0,5.22,2.46,60.43,-14.08333,-70.43333,4345
Macusani,2000-01-27,4.67,8.74,2.25,90.48,0.94,2.15,60.48,-14.08333,-70.43333,4345
Macusani,2000-01-28,4.93,10.35,1.31,88.43,1.64,1.37,60.38,-14.08333,-70.43333,4345
Macusani,2000-01-29,4.6,9.95,0.3,88.32,2.22,1.62,60.33,-14.08333,-70.43333,4345
Macusani,2000-01-30,4.5,7.98,1.31,90.55,2.62,1.6,60.42,-14.08333,-70.43333,4345
Macusani,2000-01-31,4.75,9.65,1.34,89.56,2.16,2.12,60.57,-14.08333,-70.43333,4345
Macusani,2000-02-01,5.24,10.79,1.18,86.63,1.43,2.15,60.63,-14.08333,-70.43333,4345
Macusani,2000-02-02,5.68,11.23,1.99,86.23,4.74,1.33,60.52,-14.08333,-70.43333,4345
Macusani,2000-02-03,4.74,9.94,1.32,87.02,2.75,1.19,60.4,-14.08333,-70.43333,4345
Macusani,2000-02-04,4.77,10.16,0.4,86.19,1.5,2.09,60.38,-14.08333,-70.43333,4345
Macusani,2000-02-05,5.01,10.23,2.22,86.82,8.98,1.58,60.48,-14.08333,-70.43333,4345
Macusani,2000-02-06,4.71,11.2,0.68,86.14,1.87,1.19,60.52,-14.08333,-70.43333,4345
Macusani,2000-02-07,5.11,11.56,1.1,85.99,1.27,1.87,60.54,-14.08333,-70.43333,4345
Macusani,2000-02-08,4.32,9.62,1.04,88.53,4.41,1.09,60.49,-14.08333,-70.43333,4345
Macusani,2000-02-09,3.47,7.86,-0.76,88.26,4.96,1.47,60.43,-14.08333,-70.43333,4345
Macusani,2000-02-10,4.74,9.03,2.31,89.45,14.97,1.84,60.35,-14.08333,-70.43333,4345
Macusani,2000-02-11,5.43,10.68,1.86,85.36,5.3,2.36,60.34,-14.08333,-70.43333,4345
