station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Mazocruz,2000-01-01,5.63,9.59,2.63,75.82,4.89,2.45,59.56,-16.7425,-69.71611,3990
Mazocruz,2000-01-02,7.01,13.12,2.68,70.85,1.21,2.57,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-01-03,6.58,14.36,1.37,64.75,0.04,2.04,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-01-04,7.47,16.81,0.28,47.16,0.15,1.94,59.48,-16.7425,-69.71611,3990
Mazocruz,2000-01-05,5.77,14.0,0.67,60.54,0.89,1.85,59.5,-16.7425,-69.71611,3990
Mazocruz,2000-01-06,6.44,13.33,0.72,66.14,0.42,4.2,59.56,-16.7425,-69.71611,3990
Mazocruz,2000-01-07,7.19,14.44,0.84,60.65,2.12,2.75,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-01-08,6.66,14.71,0.72,66.38,10.05,1.9,59.56,-16.7425,-69.71611,3990
Mazocruz,2000-01-09,6.96,13.07,2.24,66.64,2.61,4.24,59.57,-16.7425,-69.71611,3990
Mazocruz,2000-01-10,6.69,13.9,0.68,69.3,16.67,3.24,59.58,-16.7425,-69.71611,3990
Mazocruz,2000-01-11,7.44,14.59,1.35,66.92,1.73,3.74,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-01-12,7.98,15.01,2.46,66.42,1.81,3.63,59.53,-16.7425,-69.71611,3990
Mazocruz,2000-01-13,7.16,13.37,1.88,71.29,22.47,3.35,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-01-14,7.98,15.6,2.62,64.88,5.73,1.86,59.5,-16.7425,-69.71611,3990
Mazocruz,2000-01-15,5.16,10.42,0.6,73.81,5.92,1.98,59.44,-16.7425,-69.71611,3990
Mazocruz,2000-01-16,4.49,10.07,-0.16,71.82,2.16,1.99,59.41,-16.7425,-69.71611,3990
Mazocruz,2000-01-17,5.97,12.76,1.22,74.75,4.07,4.09,59.5,-16.7425,-69.71611,3990
Mazocruz,2000-01-18,6.48,13.22,1.21,72.18,4.4,4.8,59.78,-16.7425,-69.71611,3990
Mazocruz,2000-01-19,5.63,12.33,1.26,73.51,1.43,4.92,59.8,-16.7425,-69.71611,3990
Mazocruz,2000-01-20,7.01,13.27,1.35,67.72,0.61,3.39,59.7,-16.7425,-69.71611,3990
Mazocruz,2000-01-21,6.58,11.3,3.17,73.78,10.91,1.66,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-01-22,4.96,10.88,0.89,76.31,0.46,1.93,59.62,-16.7425,-69.71611,3990
Mazocruz,2000-01-23,6.98,14.25,2.14,72.18,0.36,3.64,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-01-24,6.97,13.21,2.46,72.19,2.97,2.41,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-01-25,6.31,13.54,1.81,73.93,4.09,2.16,59.62,-16.7425,-69.71611,3990
Mazocruz,2000-01-26,6.27,11.97,0.64,70.7,2.36,3.42,59.67,-16.7425,-69.71611,3990
Mazocruz,2000-01-27,7.06,15.07,2.23,72.57,3.01,2.38,59.68,-16.7425,-69.71611,3990
Mazocruz,2000-01-28,6.48,14.69,0.82,71.79,4.42,1.76,59.6,-16.7425,-69.71611,3990
Mazocruz,2000-01-29,6.03,13.88,1.45,74.36,0.66,2.23,59.53,-16.7425,-69.71611,3990
Mazocruz,2000-01-30,5.56,11.76,0.79,71.09,3.08,1.26,59.62,-16.7425,-69.71611,3990
Mazocruz,2000-01-31,6.06,11.13,1.24,75.34,0.33,3.3,59.78,-16.7425,-69.71611,3990
Mazocruz,2000-02-01,7.9,15.36,1.91,69.56,0.67,3.34,59.82,-16.7425,-69.71611,3990
Mazocruz,2000-02-02,6.33,13.32,2.07,74.68,2.14,2.35,59.71,-16.7425,-69.71611,3990
Mazocruz,2000-02-03,5.66,12.89,0.12,70.56,2.11,2.61,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-02-04,6.73,17.55,-3.01,53.12,0.22,2.08,59.57,-16.7425,-69.71611,3990
Mazocruz,2000-02-05,7.41,18.14,0.01,57.85,3.68,2.24,59.67,-16.7425,-69.71611,3990
Mazocruz,2000-02-06,5.94,14.94,-1.04,63.8,0.31,1.6,59.75,-16.7425,-69.71611,3990
Mazocruz,2000-02-07,7.62,14.6,1.8,70.6,2.05,2.82,59.75,-16.7425,-69.71611,3990
Mazocruz,2000-02-08,7.34,14.48,2.41,69.93,0.25,2.11,59.7,-16.7425,-69.71611,3990
Mazocruz,2000-02-09,5.92,12.66,1.44,73.45,0.95,1.93,59.64,-16.7425,-69.71611,3990
Mazocruz,2000-02-10,5.03,12.29,0.83,78.38,8.87,1.88,59.59,-16.7425,-69.71611,3990
Mazocruz,2000-02-11,6.25,11.73,2.07,72.05,0.74,2.07,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-02-12,5.49,12.53,1.39,74.35,0.11,2.37,59.59,-16.7425,-69.71611,3990
Mazocruz,2000-02-13,6.57,13.83,0.32,66.35,0.0,3.43,59.59,-16.7425,-69.71611,3990
Mazocruz,2000-02-14,6.7,14.07,1.51,68.77,0.78,4.54,59.69,-16.7425,-69.71611,3990
Mazocruz,2000-02-15,6.11,13.18,0.72,71.23,0.41,3.82,59.73,-16.7425,-69.71611,3990
Mazocruz,2000-02-16,5.6,12.0,0.3,74.63,6.94,4.09,59.73,-16.7425,-69.71611,3990
Mazocruz,2000-02-17,5.62,12.72,0.51,73.56,2.16,4.19,59.69,-16.7425,-69.71611,3990
Mazocruz,2000-02-18,6.04,13.58,-0.2,71.42,0.34,3.45,59.65,-16.7425,-69.71611,3990
Mazocruz,2000-02-19,6.46,13.74,0.02,69.81,1.31,3.27,59.68,-16.7425,-69.71611,3990
Mazocruz,2000-02-20,6.01,12.16,1.22,76.66,24.29,3.4,59.72,-16.7425,-69.71611,3990
Mazocruz,2000-02-21,6.44,13.43,1.01,73.28,4.07,3.49,59.68,-16.7425,-69.71611,3990
Mazocruz,2000-02-22,5.79,13.37,0.51,75.89,9.1,2.35,59.64,-16.7425,-69.71611,3990
Mazocruz,2000-02-23,6.75,13.94,1.16,75.19,5.18,2.88,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-02-24,6.92,13.21,2.22,76.67,5.55,3.92,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-02-25,7.15,13.96,2.48,76.46,8.39,3.36,59.6,-16.7425,-69.71611,3990
Mazocruz,2000-02-26,6.5,13.14,2.31,74.5,6.06,1.71,59.65,-16.7425,-69.71611,3990
Mazocruz,2000-02-27,6.77,14.11,0.7,74.88,3.32,1.55,59.63,-16.7425,-69.71611,3990
Mazocruz,2000-02-28,6.91,12.99,2.78,78.6,1.42,3.78,59.62,-16.7425,-69.71611,3990
Mazocruz,2000-02-29,6.84,13.6,2.54,75.77,2.34,3.66,59.76,-16.7425,-69.71611,3990
Mazocruz,2000-03-01,7.16,13.7,3.02,76.84,4.28,1.92,59.77,-16.7425,-69.71611,3990
Mazocruz,2000-03-02,7.63,14.7,2.54,72.27,3.38,2.85,59.71,-16.7425,-69.71611,3990
Mazocruz,2000-03-03,7.9,14.84,2.75,72.75,4.27,2.08,59.66,-16.7425,-69.71611,3990
Mazocruz,2000-03-04,6.73,12.82,2.72,78.95,0.76,2.55,59.67,-16.7425,-69.71611,3990
Mazocruz,2000-03-05,7.35,14.45,2.31,74.84,2.76,3.48,59.72,-16.7425,-69.71611,3990
Mazocruz,2000-03-06,6.79,12.64,2.94,77.9,4.26,3.5,59.76,-16.7425,-69.71611,3990
Mazocruz,2000-03-07,6.66,13.26,2.12,76.48,3.5,3.54,59.72,-16.7425,-69.71611,3990
Mazocruz,2000-03-08,6.34,14.28,1.68,76.12,0.57,1.73,59.58,-16.7425,-69.71611,3990
Mazocruz,2000-03-09,5.97,13.39,1.32,77.55,3.45,2.5,59.53,-16.7425,-69.71611,3990
Mazocruz,2000-03-10,5.43,14.01,0.06,74.02,4.61,2.16,59.63,-16.7425,-69.71611,3990
Mazocruz,2000-03-11,3.75,9.06,0.1,78.85,7.19,1.87,59.63,-16.7425,-69.71611,3990
Mazocruz,2000-03-12,5.54,14.54,-2.14,71.22,5.73,1.67,59.56,-16.7425,-69.71611,3990
Mazocruz,2000-03-13,4.98,15.88,-3.99,58.33,0.19,3.34,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-03-14,6.49,15.9,-2.81,54.99,0.41,1.27,59.53,-16.7425,-69.71611,3990
Mazocruz,2000-03-15,5.94,13.88,-0.78,70.04,2.24,1.35,59.57,-16.7425,-69.71611,3990
Mazocruz,2000-03-16,4.69,14.21,-3.5,58.95,0.01,1.96,59.61,-16.7425,-69.71611,3990
Mazocruz,2000-03-17,4.85,13.88,-1.81,65.2,0.0,1.52,59.59,-16.7425,-69.71611,3990
Mazocruz,2000-03-18,6.32,13.71,0.7,71.07,1.47,1.97,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-03-19,5.46,12.14,1.63,77.41,0.54,1.98,59.51,-16.7425,-69.71611,3990
Mazocruz,2000-03-20,5.78,12.05,0.94,77.13,0.26,2.79,59.55,-16.7425,-69.71611,3990
Mazocruz,2000-03-21,6.84,13.55,2.35,74.14,3.03,3.12,59.69,-16.7425,-69.71611,3990
Mazocruz,2000-03-22,5.82,13.14,0.33,74.53,0.97,3.21,59.74,-16.7425,-69.71611,3990
Mazocruz,2000-03-23,6.21,13.79,1.29,74.76,1.45,2.93,59.63,-16.7425,-69.71611,3990
Mazocruz,2000-03-24,5.58,13.15,0.29,75.7,3.72,4.22,59.72,-16.7425,-69.71611,3990
Mazocruz,2000-03-25,5.53,13.05,0.08,71.62,0.68,3.38,59.85,-16.7425,-69.71611,3990
Mazocruz,2000-03-26,6.22,14.86,-1.72,69.14,0.16,1.55,59.74,-16.7425,-69.71611,3990
Mazocruz,2000-03-27,6.33,15.28,-0.54,69.5,0.03,2.73,59.65,-16.7425,-69.71611,3990
Mazocruz,2000-03-28,6.27,13.37,1.35,71.2,0.0,3.36,59.71,-16.7425,-69.71611,3990
Mazocruz,2000-03-29,5.5,12.61,1.71,73.08,0.01,1.0,59.73,-16.7425,-69.71611,3990
Mazocruz,2000-03-30,5.43,13.52,1.18,70.74,0.0,1.25,59.63,-16.7425,-69.71611,3990
Mazocruz,2000-03-31,5.19,11.13,0.83,73.89,0.0,2.8,59.6,-16.7425,-69.71611,3990
Mazocruz,2000-04-01,5.45,12.32,0.94,72.63,0.01,3.22,59.7,-16.7425,-69.71611,3990
Mazocruz,2000-04-02,5.04,12.84,-0.46,67.36,0.0,2.81,59.83,-16.7425,-69.71611,3990
Mazocruz,2000-04-03,5.93,14.1,-0.96,66.51,0.0,2.58,59.82,-16.7425,-69.71611,3990
Mazocruz,2000-04-04,5.97,14.12,0.21,67.19,0.36,2.73,59.82,-16.7425,-69.71611,3990
Mazocruz,2000-04-05,4.81,13.66,-1.97,64.75,0.51,2.91,59.86,-16.7425,-69.71611,3990
Mazocruz,2000-04-06,4.92,13.86,-3.49,68.54,0.06,2.47,59.85,-16.7425,-69.71611,3990
Mazocruz,2000-04-07,7.05,15.47,1.19,69.54,0.0,1.39,59.73,-16.7425,-69.71611,3990
Mazocruz,2000-04-08,6.94,14.46,2.12,67.34,0.02,3.4,59.73,-16.7425,-69.71611,3990
Mazocruz,2000-04-09,5.65,13.52,0.2,70.05,0.26,3.12,59.8,-16.7425,-69.71611,3990
Mazocruz,2000-04-10,6.23,14.98,0.18,68.0,0.02,3.04,59.83,-16.7425,-69.71611,3990
Mazocruz,2000-04-11,5.93,14.94,-1.66,65.58,0.01,2.66,59.87,-16.7425,-69.71611,3990
Mazocruz,2000-04-12,6.86,15.66,0.73,66.02,0.03,1.57,59.78,-16.7425,-69.71611,3990
Mazocruz,2000-04-13,4.78,10.92,-0.29,73.51,0.01,1.32,59.68,-16.7425,-69.71611,3990
Mazocruz,2000-04-14,4.75,13.35,-1.97,65.55,0.0,1.82,59.7,-16.7425,-69.71611,3990
Mazocruz,2000-04-15,6.19,13.94,0.68,72.03,0.22,1.68,59.76,-16.7425,-69.71611,3990
Mazocruz,2000-04-16,4.73,11.45,-1.25,80.58,1.48,2.26,59.8,-16.7425,-69.71611,3990
Mazocruz,2000-04-17,4.59,15.95,-3.65,52.89,0.05,1.94,59.69,-16.7425,-69.71611,3990
Mazocruz,2000-04-18,4.31,15.35,-4.52,42.39,0.02,1.69,59.67,-16.7425,-69.71611,3990
Mazocruz,2000-04-19,5.96,12.43,1.22,70.38,0.1,1.25,59.71,-16.7425,-69.71611,3990
Mazocruz,2000-04-20,6.25,12.85,1.65,66.03,0.0,1.08,59.78,-16.7425,-69.71611,3990
Mazocruz,2000-04-21,6.0,14.12,1.17,72.6,3.89,1.49,59.76,-16.7425,-69.71611,3990
Mazocruz,2000-04-22,5.52,12.65,0.82,72.49,2.07,1.5,59.72,-16.7425,-69.71611,3990
Mazocruz,2000-04-23,5.89,12.91,2.01,75.4,0.33,2.0,59.77,-16.7425,-69.71611,3990
Mazocruz,2000-04-24,6.14,12.26,2.06,71.05,0.13,0.83,59.79,-16.7425,-69.71611,3990
Mazocruz,2000-04-25,7.05,14.67,0.99,64.49,0.05,0.55,59.78,-16.7425,-69.71611,3990
