station,date,tmean,tmax,tmin,rh,precip,wind,pressure,latitude,longitude,elevation
Yunguyo,2000-01-01,7.73,10.35,5.22,82.38,11.43,1.96,63.6,-16.25,-69.08333,3826
Yunguyo,2000-01-02,9.93,14.55,6.49,70.28,1.97,4.25,63.59,-16.25,-69.08333,3826
Yunguyo,2000-01-03,10.36,16.01,5.72,61.45,0.14,2.73,63.56,-16.25,-69.08333,3826
Yunguyo,2000-01-04,10.14,15.7,6.26,62.55,0.61,2.05,63.5,-16.25,-69.08333,3826
Yunguyo,2000-01-05,9.26,13.41,6.41,70.65,2.25,3.78,63.54,-16.25,-69.08333,3826
Yunguyo,2000-01-06,8.31,12.22,5.1,73.02,1.17,5.06,63.63,-16.25,-69.08333,3826
Yunguyo,2000-01-07,8.62,13.88,4.64,63.47,4.6,3.94,63.61,-16.25,-69.08333,3826
Yunguyo,2000-01-08,9.3,14.52,5.02,61.77,9.35,3.82,63.59,-16.25,-69.08333,3826
Yunguyo,2000-01-09,8.8,13.43,5.05,72.2,2.27,5.13,63.64,-16.25,-69.08333,3826
Yunguyo,2000-01-10,8.95,13.82,5.0,70.3,3.76,4.09,63.63,-16.25,-69.08333,3826
Yunguyo,2000-01-11,9.26,14.63,4.86,71.04,0.63,4.36,63.61,-16.25,-69.08333,3826
Yunguyo,2000-01-12,9.91,14.98,5.7,70.45,0.65,4.35,63.57,-16.25,-69.08333,3826
Yunguyo,2000-01-13,9.72,14.67,5.39,71.49,10.68,3.93,63.58,-16.25,-69.08333,3826
Yunguyo,2000-01-14,10.61,15.76,6.64,68.63,3.79,3.5,63.51,-16.25,-69.08333,3826
Yunguyo,2000-01-15,9.29,13.3,5.47,74.14,15.22,3.03,63.44,-16.25,-69.08333,3826
Yunguyo,2000-01-16,7.31,11.5,3.27,79.68,4.78,3.3,63.45,-16.25,-69.08333,3826
Yunguyo,2000-01-17,9.13,13.43,6.46,77.85,2.04,5.22,63.55,-16.25,-69.08333,3826
Yunguyo,2000-01-18,9.21,13.76,5.29,74.29,2.14,5.34,63.86,-16.25,-69.08333,3826
Yunguyo,2000-01-19,7.52,10.97,4.75,78.43,3.31,5.24,63.9,-16.25,-69.08333,3826
Yunguyo,2000-01-20,8.92,12.93,5.27,74.37,1.67,3.95,63.76,-16.25,-69.08333,3826
Yunguyo,2000-01-21,10.2,13.54,7.4,71.33,4.43,1.77,63.61,-16.25,-69.08333,3826
Yunguyo,2000-01-22,8.68,13.24,4.8,78.49,0.56,3.11,63.65,-16.25,-69.08333,3826
Yunguyo,2000-01-23,9.46,14.34,5.9,74.83,0.19,5.06,63.67,-16.25,-69.08333,3826
Yunguyo,2000-01-24,9.95,14.9,6.15,72.66,2.6,3.92,63.64,-16.25,-69.08333,3826
Yunguyo,2000-01-25,10.01,14.45,6.57,75.76,8.54,4.2,63.64,-16.25,-69.08333,3826
Yunguyo,2000-01-26,9.21,12.79,6.84,73.32,4.83,4.31,63.72,-16.25,-69.08333,3826
Yunguyo,2000-01-27,9.6,14.75,5.15,73.87,7.58,3.94,63.72,-16.25,-69.08333,3826
Yunguyo,2000-01-28,9.66,14.86,5.81,77.62,10.28,3.53,63.62,-16.25,-69.08333,3826
Yunguyo,2000-01-29,9.95,14.72,6.89,77.61,4.32,3.93,63.53,-16.25,-69.08333,3826
Yunguyo,2000-01-30,7.21,9.84,5.15,81.99,3.75,1.65,63.67,-16.25,-69.08333,3826
Yunguyo,2000-01-31,8.67,12.54,4.61,81.18,1.48,4.17,63.84,-16.25,-69.08333,3826
Yunguyo,2000-02-01,10.16,14.92,6.12,74.12,1.05,4.67,63.86,-16.25,-69.08333,3826
Yunguyo,2000-02-02,10.16,15.15,6.03,74.5,3.08,3.02,63.72,-16.25,-69.08333,3826
Yunguyo,2000-02-03,8.49,12.92,5.13,73.15,4.66,2.66,63.62,-16.25,-69.08333,3826
Yunguyo,2000-02-04,10.22,15.99,5.63,60.2,1.75,3.5,63.58,-16.25,-69.08333,3826
Yunguyo,2000-02-05,10.82,16.19,7.08,65.35,5.18,2.29,63.67,-16.25,-69.08333,3826
Yunguyo,2000-02-06,9.61,13.63,5.85,68.53,0.37,3.14,63.78,-16.25,-69.08333,3826
Yunguyo,2000-02-07,10.3,14.32,7.08,76.36,4.72,4.83,63.79,-16.25,-69.08333,3826
