Measure,Persistence,Climatology,MLR,RF,MLP
MAE (°C),0.866,0.597,0.421,0.476,0.415
MAE 95% CI,"[0.701, 1.041]","[0.478, 0.728]","[0.331, 0.512]","[0.367, 0.586]","[0.323, 0.518]"
RMSE (°C),1.059,0.757,0.532,0.629,0.541
R²,0.520,0.755,0.879,0.831,0.875
MBE (°C),-0.088,-0.271,+0.107,-0.160,+0.086
MSSS,-0.958,+0.000,+0.505,+0.310,+0.489
DM p vs climatology,0.004,—,0.029,0.031,0.051
Training MAE (°C),—,—,0.415,0.226,0.304
Test/train ratio,—,—,1.01,2.11,1.37
Cross-validated MAE (°C),—,—,0.600,0.498,0.681
Hyperparameters,—,—,none,"depth 6, 300 trees","16 units, α = 1.0"
