model,n_train,start,seed,mae
Multiple Linear Regression,30,0,42,1.0375781950617322
Random Forest,30,0,0,0.7293759426646459
Random Forest,30,0,1,0.7449366438773116
Random Forest,30,0,2,0.7058473634703566
Random Forest,30,0,3,0.750166309439804
Random Forest,30,0,4,0.7570689734943568
Multilayer Perceptron,30,0,0,1.6408040386832834
Multilayer Perceptron,30,0,1,1.0353354585440655
Multilayer Perceptron,30,0,2,1.41687853928219
Multilayer Perceptron,30,0,3,0.7258980762195473
Multilayer Perceptron,30,0,4,1.871826700151643
Multiple Linear Regression,30,21,42,2.6448769408988992
Random Forest,30,21,0,0.6045011436527977
Random Forest,30,21,1,0.6263429173165771
Random Forest,30,21,2,0.6220503735610674
Random Forest,30,21,3,0.6132022267922443
Random Forest,30,21,4,0.6036856085966358
Multilayer Perceptron,30,21,0,12.305621790468512
Multilayer Perceptron,30,21,1,13.291244119083013
Multilayer Perceptron,30,21,2,13.522152732855991
Multilayer Perceptron,30,21,3,9.517320289824887
Multilayer Perceptron,30,21,4,10.933347964032887
Multiple Linear Regression,30,42,42,3.13122059705702
Random Forest,30,42,0,0.5874711775996764
Random Forest,30,42,1,0.6025056371392516
Random Forest,30,42,2,0.5900130145389503
Random Forest,30,42,3,0.6099457128592735
Random Forest,30,42,4,0.582004127797231
Multilayer Perceptron,30,42,0,4.977661807933251
Multilayer Perceptron,30,42,1,3.2646731701922787
Multilayer Perceptron,30,42,2,9.379919725433737
Multilayer Perceptron,30,42,3,4.276978530320269
Multilayer Perceptron,30,42,4,3.9273425744448196
Multiple Linear Regression,30,64,42,0.9971455021407502
Random Forest,30,64,0,0.5716279661937362
Random Forest,30,64,1,0.5589690157736219
Random Forest,30,64,2,0.5609911431902896
Random Forest,30,64,3,0.5776501660010374
Random Forest,30,64,4,0.5619187221503609
Multilayer Perceptron,30,64,0,1.3656646186906491
Multilayer Perceptron,30,64,1,2.1700860739661643
Multilayer Perceptron,30,64,2,0.8482438213706178
Multilayer Perceptron,30,64,3,2.2286843278427497
Multilayer Perceptron,30,64,4,1.4208534776839004
Multiple Linear Regression,30,85,42,1.124048462943384
Random Forest,30,85,0,0.5741682966845184
Random Forest,30,85,1,0.5815255124265917
Random Forest,30,85,2,0.5690777735280652
Random Forest,30,85,3,0.561135976431543
Random Forest,30,85,4,0.5625716823510195
Multilayer Perceptron,30,85,0,2.5183280576443368
Multilayer Perceptron,30,85,1,2.709379450127333
Multilayer Perceptron,30,85,2,3.271980027709524
Multilayer Perceptron,30,85,3,3.395571212283092
Multilayer Perceptron,30,85,4,2.97453570488474
Multiple Linear Regression,30,107,42,0.7140209088141589
Random Forest,30,107,0,0.7208175121346172
Random Forest,30,107,1,0.7145797150199162
Random Forest,30,107,2,0.7172203534563698
Random Forest,30,107,3,0.7197665332461242
Random Forest,30,107,4,0.7278074805475314
Multilayer Perceptron,30,107,0,0.581334817974334
Multilayer Perceptron,30,107,1,0.7479019169296842
Multilayer Perceptron,30,107,2,0.9637763533739228
Multilayer Perceptron,30,107,3,0.6025158440107719
Multilayer Perceptron,30,107,4,0.580489277043863
