Month,n,Mean (°C),SD (°C),Minimum (°C),Maximum (°C),Mean RH (%),Mean precipitation (mm)
January,20,11.5,0.67,10.47,12.8,71.1,158.6
February,19,11.38,0.51,10.24,12.31,72.8,145.6
March,20,11.31,0.71,10.4,12.96,71.6,120.8
April,19,10.86,0.66,9.92,12.72,66.1,45.4
May,19,9.62,0.76,8.16,11.58,57.2,9.9
June,19,8.35,0.94,6.59,9.93,53.6,1.9
July,19,8.17,0.69,6.73,9.42,53.3,3.7
August,21,9.3,0.68,8.23,10.92,53.7,6.1
September,21,10.8,0.83,9.76,12.91,56.8,24.3
October,20,12.07,0.77,11.01,14.21,56.9,41.2
November,18,12.85,0.66,11.82,14.21,56.2,47.8
December,21,12.41,0.68,11.3,14.06,62.8,97.9
