Predictor,MLR standardised coefficient,RF permutation importance (°C),MLP permutation importance (°C)
clim_target,+1.773,+0.344 ± 0.042,+0.823 ± 0.096
sin_month,-0.042,+0.029 ± 0.013,+0.679 ± 0.091
cos_month,-0.172,+0.211 ± 0.033,+0.613 ± 0.062
tmean_lag0,-0.210,+0.135 ± 0.030,+0.449 ± 0.073
roll3,-0.010,+0.012 ± 0.011,+0.233 ± 0.052
anomaly_lag0,+0.302,+0.014 ± 0.006,+0.201 ± 0.058
dtr_lag0,+0.118,+0.008 ± 0.006,+0.142 ± 0.038
tmean_lag1,+0.297,+0.003 ± 0.009,+0.115 ± 0.028
trend,+0.106,+0.000 ± 0.000,+0.083 ± 0.020
tmean_lag2,-0.098,+0.012 ± 0.012,+0.074 ± 0.026
precip_lag0,+0.103,-0.007 ± 0.009,+0.062 ± 0.026
rh_lag0,-0.039,+0.005 ± 0.005,+0.049 ± 0.027
